municipality,county,municipality_id,county_id,latitude,longitude,hover
åtvidaberg,västra götaland,0561,5,58.658272,13.699112,västra götaland åtvidaberg
uppsala,uppsala,0380,3,59.96305600000001,17.382621,uppsala uppsala
tjörn,västra götaland,1419,14,57.95325,11.570375,västra götaland tjörn
sjöbo,skåne,1265,12,55.584158,13.59908,skåne sjöbo
ulricehamn,västra götaland,1491,14,57.930513,13.493323,västra götaland ulricehamn
norrtälje,stockholm,0188,1,59.614538,18.901464,stockholm norrtälje
karlstad,värmland,1780,17,59.606125,13.801258,värmland karlstad
mönsterås,kalmar,0861,8,56.98457,16.328682999999998,kalmar mönsterås
piteå,norrbotten,2581,25,65.265284,21.292715,norrbotten piteå
ludvika,dalarna,2085,20,60.126774,15.058789,dalarna ludvika
oskarshamn,kalmar,0882,8,57.261836,16.065139000000002,kalmar oskarshamn
nässjö,jönköping,0682,6,57.505262,14.703379,jönköping nässjö
rättvik,uppsala,2031,20,59.661106,16.894597,uppsala rättvik
boden,norrbotten,2582,25,65.8275,21.69641,norrbotten boden
skellefteå,västerbotten,2482,24,64.867048,20.387333,västerbotten skellefteå
bollebygd,västra götaland,1443,14,57.744516,12.583187,västra götaland bollebygd
bollnäs,gävleborg,2183,21,61.318303,16.396793,gävleborg bollnäs
kramfors,västernorrland,2282,22,62.997142,17.675724,västernorrland kramfors
mora,dalarna,2062,20,61.071555,14.485860999999998,dalarna mora
motala,östergötland,0583,5,58.565658,15.280218,östergötland motala
finspång,östergötland,0562,5,58.730203,15.55899,östergötland finspång
borgholm,kalmar,0885,8,56.879927,16.656137,kalmar borgholm
borås,västra götaland,1490,14,57.883805,13.013169,västra götaland borås
borlänge,dalarna,2081,20,60.48564200000001,15.423456,dalarna borlänge
simrishamn,skåne,1291,12,55.45803299999999,14.180885,skåne simrishamn
värnamo,jönköping,0683,6,57.117835,14.156707999999998,jönköping värnamo
borås,västra götaland,1490,14,57.72108299999999,12.94074,västra götaland borås
borås,västra götaland,1490,14,57.668333,12.844263,västra götaland borås
umeå,västerbotten,2480,24,64.253403,20.246195,västerbotten umeå
jönköping,jönköping,0680,6,57.769513,13.826133,jönköping jönköping
sotenäs,västra götaland,1427,14,58.474747,11.318806,västra götaland sotenäs
boxholm,östergötland,0560,5,58.132595,15.127738,östergötland boxholm
simrishamn,skåne,1291,12,55.515199,14.345963,skåne simrishamn
lysekil,västra götaland,1484,14,58.382006,11.485181,västra götaland lysekil
växjö,kronoberg,0780,7,57.059792,15.048356,kronoberg växjö
borås,västra götaland,1490,14,57.805782,12.902985,västra götaland borås
värnamo,jönköping,0683,6,57.17410400000001,13.738937,jönköping värnamo
örnsköldsvik,västernorrland,2284,22,62.198527,17.230967,västernorrland örnsköldsvik
enköping,västernorrland,0381,3,62.342022,17.372269,västernorrland enköping
kalix,västernorrland,2514,25,62.481596,16.46089,västernorrland kalix
gislaved,jönköping,0662,6,57.120231,13.258352,jönköping gislaved
linköping,östergötland,0580,5,58.218153,15.681462,östergötland linköping
bromölla,skåne,1272,12,56.07615799999999,14.468173,skåne bromölla
vallentuna,stockholm,0115,1,59.560959,18.238716,stockholm vallentuna
upplands-bro,gotland,0139,1,57.669298,18.472247,gotland upplands-bro
upplands-bro,dalarna,0139,1,60.262222,16.010129,dalarna upplands-bro
älvdalen,dalarna,2039,20,61.20771600000001,14.119674,dalarna älvdalen
värmdö,västra götaland,0120,1,57.800682,13.369513,västra götaland värmdö
eksjö,jönköping,0686,6,57.642463,15.27197,jönköping eksjö
vänersborg,västra götaland,1487,14,58.563312,12.35074,västra götaland vänersborg
bräcke,jämtland,2305,23,62.752127,15.41987,jämtland bräcke
ronneby,blekinge,1081,10,56.22856,15.11694,blekinge ronneby
luleå,norrbotten,2580,25,65.69538100000001,22.336566,norrbotten luleå
umeå,västerbotten,2480,24,64.65833,18.453399,västerbotten umeå
göteborg,västra götaland,1480,14,57.643783,11.771863,västra götaland göteborg
tomelilla,skåne,1270,12,55.72458100000001,14.104728,skåne tomelilla
varberg,halland,1383,13,57.237037,12.122481,halland varberg
kungsbacka,halland,1384,13,57.423823,11.968179,halland kungsbacka
umeå,västerbotten,2480,24,64.028582,20.483959,västerbotten umeå
malmö,skåne,1280,12,55.553362,12.915588,skåne malmö
skellefteå,västerbotten,2482,24,64.61798399999999,21.200493,västerbotten skellefteå
gotland,gotland,0980,9,57.033211,18.276696,gotland gotland
burlöv,skåne,1231,12,55.635827,13.101915,skåne burlöv
gislaved,jönköping,0662,6,57.375451,14.789713,jönköping gislaved
skellefteå,västerbotten,2482,24,64.51900400000001,20.655786,västerbotten skellefteå
nyköping,södermanland,0480,4,58.665071,16.942079,södermanland nyköping
finspång,östergötland,0562,5,58.716322,15.834454999999998,östergötland finspång
robertsfors,västerbotten,2409,24,64.061088,20.853516,västerbotten robertsfors
skellefteå,västerbotten,2482,24,64.350669,20.505061,västerbotten skellefteå
skellefteå,västerbotten,2482,24,64.95450799999999,21.205751,västerbotten skellefteå
håbo,uppsala,0305,3,59.56821,17.529364,uppsala håbo
helsingborg,skåne,1283,12,56.011964,12.801899,skåne helsingborg
båstad,skåne,1278,12,56.426789,12.860715,skåne båstad
kalix,norrbotten,2514,25,65.780928,23.422138,norrbotten kalix
kristianstad,skåne,1290,12,56.044299,14.33426,skåne kristianstad
nybro,kalmar,0881,8,56.88922,16.065362,kalmar nybro
bengtsfors,västra götaland,1460,14,58.806127,12.159969,västra götaland bengtsfors
kristinehamn,värmland,1781,17,59.158939,14.190986,värmland kristinehamn
eskilstuna,södermanland,0484,4,59.249827,16.460741,södermanland eskilstuna
luleå,norrbotten,2580,25,65.633333,21.933333,norrbotten luleå
uppsala,uppsala,0380,3,59.948845,17.542984,uppsala uppsala
uppsala,uppsala,0380,3,59.856685,17.817504,uppsala uppsala
gagnef,dalarna,2026,20,60.54113100000001,15.207791,dalarna gagnef
piteå,norrbotten,2581,25,65.386151,21.322539000000006,norrbotten piteå
gävle,gävleborg,2180,21,60.73613100000001,17.303216,gävleborg gävle
eda,värmland,1730,17,59.88396,12.30492,värmland eda
gagnef,dalarna,2026,20,60.50769200000001,14.796729999999998,dalarna gagnef
haninge,stockholm,0136,1,59.133518,18.405239,stockholm haninge
lund,skåne,1281,12,55.664663,13.346158,skåne lund
borås,västra götaland,1490,14,57.721698,13.106962,västra götaland borås
bengtsfors,västra götaland,1460,14,58.92590500000001,12.306382,västra götaland bengtsfors
mellerud,västra götaland,1461,14,58.714085,12.355654,västra götaland mellerud
tranemo,västra götaland,1452,14,57.605573,13.511657,västra götaland tranemo
ulricehamn,västra götaland,1491,14,57.900296,13.464924,västra götaland ulricehamn
uppsala,västra götaland,0380,3,57.949937,11.54931,västra götaland uppsala
östhammar,uppsala,0382,3,60.203273,17.859906,uppsala östhammar
borås,västra götaland,1490,14,57.688771,13.227560999999998,västra götaland borås
kristianstad,skåne,1290,12,55.837151,14.089263,skåne kristianstad
degerfors,örebro,1862,18,59.153172,14.429410999999998,örebro degerfors
